"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"Ostf1",1.93763773002865,1.47558472941778,1.93763773002865,1.70661122972321
"Dusp10",1.93758727273669,1.45759781794246,1.93758727273669,1.69759254533958
"Maz",1.93649630041341,1.4574230963509,1.93649630041341,1.69695969838215
"Crem",1.93482799595208,1.63101254597889,1.93482799595208,1.78292027096549
"Tlr2",1.93426385680467,1.5859804380835,1.93426385680467,1.76012214744409
"H2-M3",0.775003808628795,1.93254727453437,1.93254727453437,1.35377554158158
"Dctn4",1.93053967886018,1.60776061327185,1.93053967886018,1.76915014606601
"Nek6",1.92816321259563,1.45349001601878,1.92816321259563,1.69082661430721
"Ighg2c",1.92708674795318,1.45104434200114,1.92708674795318,1.68906554497716
"Ints4",1.92549956674121,1.50053052567179,1.92549956674121,1.7130150462065
"Trpv2",1.9237431685247,1.44764627828625,1.9237431685247,1.68569472340548
"Strbp",1.92345185975219,1.46440813937011,1.92345185975219,1.69392999956115
"Thra",1.9231097477713,1.50889085508786,1.9231097477713,1.71600030142958
"Fam83h",0.906629348134078,1.92264611842576,1.92264611842576,1.41463773327992
"Musk",1.92242652372752,1.45022322709346,1.92242652372752,1.68632487541049
"Aif1l",1.92182817567897,1.44656421481938,1.92182817567897,1.68419619524917
"Spns2",1.23953883962843,1.92128433151778,1.92128433151778,1.58041158557311
"Tpp2",1.92117189874435,1.45935673632295,1.92117189874435,1.69026431753365
"H3f3b",1.91954124625491,1.47097775424312,1.91954124625491,1.69525950024901
"Hsf2bp",1.91833042416119,1.45920236454651,1.91833042416119,1.68876639435385
"4930516B21Rik",1.91809079522745,1.61184920685074,1.91809079522745,1.76497000103909
"Irs1",1.91732213194336,1.44567134849802,1.91732213194336,1.68149674022069
"Supt3",1.91635107949692,1.56652881076237,1.91635107949692,1.74143994512964
"Arpp19",1.91510403303172,1.51318451335041,1.91510403303172,1.71414427319106
"Atf7",1.91445388239946,1.50598817632857,1.91445388239946,1.71022102936401
"Rian",1.91259421619851,1.56154592700941,1.91259421619851,1.73707007160396
"Dmxl2",1.91256293967051,1.44210496405118,1.91256293967051,1.67733395186085
